Categoria|Distância (m)|RSSI (dBm) media|RSSI (dBm) minimo|RSSI (dBm) maximo
nao realistico|382.0|-90.7856630159|-90.7856630159|-90.7856630159
nao realistico|383.0|-90.8283540515|-90.8283540515|-90.8283540515
nao realistico|384.0|-90.8709337696|-90.8709337696|-90.8709337696
nao realistico|385.0|-90.9134027492|-90.9134027492|-90.9134027492
nao realistico|386.0|-90.9557615649|-90.9557615649|-90.9557615649
nao realistico|387.0|-90.9980107867|-90.9980107867|-90.9980107867
nao realistico|388.0|-91.0401509802|-91.0401509802|-91.0401509802
nao realistico|389.0|-91.0821827067|-91.0821827067|-91.0821827067
nao realistico|390.0|-91.1241065231|-91.1241065231|-91.1241065231
nao realistico|391.0|-91.1659229821|-91.1659229821|-91.1659229821
nao realistico|392.0|-91.2076326321|-91.2076326321|-91.2076326321
nao realistico|393.0|-91.24923601739998|-91.24923601739998|-91.24923601739998
nao realistico|394.0|-91.290733678|-91.290733678|-91.290733678
nao realistico|395.0|-91.3321261499|-91.3321261499|-91.3321261499
nao realistico|396.0|-91.3734139651|-91.3734139651|-91.3734139651
nao realistico|397.0|-91.4145976513|-91.4145976513|-91.4145976513
nao realistico|398.0|-91.4556777326|-91.4556777326|-91.4556777326
nao realistico|399.0|-91.4966547289|-91.4966547289|-91.4966547289
nao realistico|400.0|-91.5375291562|-91.5375291562|-91.5375291562
nao realistico|401.0|-91.5783015268|-91.5783015268|-91.5783015268
nao realistico|402.0|-91.61897234889999|-91.61897234889999|-91.61897234889999
nao realistico|403.0|-91.6595421272|-91.6595421272|-91.6595421272
